description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Audi Q2 1.5 35 Tfsi Advanced 150 Cv,US$53.000,53000,2025,2025,0 Km,0,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2100926698-audi-q2-15-35-tfsi-advanced-150-cv-q3-q5-q7-q8-a3-a4-a5-a6-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A3 1.5 35 Tfsi Sedan Tiptronic 150cv,US$43.800,43800,2025,2025,0 Km,0,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2099706438-audi-a3-15-35-tfsi-sedan-tiptronic-150cv-a1-a4-a5-a6-a6-q2-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi Q7 3.0 55 Tfsi S-line Quattro,US$145.000,145000,2025,2025,1.000 Km,1000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1500542001-audi-q7-30-55-tfsi-s-line-quattro-q2-q3-q5-q8-a3-a4-a5-a6-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi Q7 3.0 55 Tfsi S-line Quattro 340cv,US$180.000,180000,2025,2025,0 Km,0,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1482566567-audi-q7-0km-2025-q8-sq5-rsq3-q5-q3-rs3-s3-a7-a6-a3-a1-q2-q3-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A6 Allroad 3.0 Tfsi 55 Tfsi Mild-hybrid,US$165.000,165000,2025,2025,0 Km,0,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1995121494-audi-a6-allroad-0km-q7-sq5-nueva-q5-q8-a7-sportback-q3-a1-q2-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A6 3.0 55 Tfsi Stronic Quattro 340cv,US$117.900,117900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2081712764-audi-a6-30-55-tfsi-stronic-quattro-340cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A6 3.0 55 Tfsi Stronic Quattro 340cv,US$117.900,117900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1496203021-audi-a6-30-55-tfsi-stronic-quattro-340cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A6 3.0 55 Tfsi Stronic Quattro 340cv,US$117.900,117900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2076067228-audi-a6-30-55-tfsi-stronic-quattro-340cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A6 3.0 55 Tfsi Stronic Quattro 340cv,US$117.900,117900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1502695691-audi-a6-30-55-tfsi-stronic-quattro-340cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A6 Allroad 3.0 Tfsi Stronic Quattro 333cv,US$48.500,48500,2016,2016,79.000 Km,79000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2089323560-audi-a6-allroad-30-tfsi-stronic-quattro-333cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
Audi A6 3.0 Tfsi 300cv Stronic Quattro,US$29.000,29000,2013,2013,83.000 Km,83000,Las Flores - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1495633849-audi-a6-30-tfsi-300cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=69248a64-6903-493a-8577-2a040e99c2b1,audi a6 3.0,
