description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Bmw Serie 3 3.0 330i Sedan Sport Line 252cv,US$28.500,28500,2016,2016,148.000 Km,148000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2100444350-bmw-serie-3-30-330i-sedan-sport-line-252cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 3.0 M340i Xdrive M Performance,US$110.000,110000,2025,2025,0 Km,0,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1993262134-bmw-m340i-okm-2025-bmw-340-bmw-340i-bmw-m340-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 2.0 320i Sedan Sportline,US$65.900,65900,2025,2025,0 Km,0,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1993274240-bmw-320i-okm-2025-bmw-320-okm-2025-no-bmw-330-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 M340i Xdrive,US$104.900,104900,2024,2024,0 Km,0,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1457343697-bmw-m340i-xdrive-0km-natalio-automotores-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 3.0 330i Sedan Sportive,US$15.000,15000,2008,2008,150.000 Km,150000,Tres De Febrero - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2093352910-bmw-serie-3-30-330i-sedan-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 3.0 330i Sedan Sport Line 252cv,US$52.900,52900,2021,2021,46.000 Km,46000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1492073527-bmw-serie-3-30-330i-sedan-sport-line-252cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 3.0 330i Sedan Sport Line 252cv,US$57.000,57000,2020,2020,96.452 Km,96452,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2038847104-bmw-serie-3-30-330i-sedan-sport-line-252cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 2.5 325i 24v Coupe,US$55.000,55000,1995,1995,125.000 Km,125000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501564711-bmw-serie-3-25-325i-24v-coupe-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 2.0 328i Luxury 245cv,US$23.800,23800,2013,2013,141.000 Km,141000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1496585571-bmw-serie-3-20-328i-luxury-245cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 2.5 325ci Coupe Selective,US$14.000,14000,2002,2002,187.000 Km,187000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2082789544-bmw-serie-3-25-325ci-coupe-selective-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 3.0 M340i Xdrive M Performance,US$107.900,107900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1470750991-bmw-serie-3-30-m340i-xdrive-m-performance-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 3.0 335i Sedan M Package At 306cv,US$34.999,34999,2013,2013,115.000 Km,115000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2078706196-bmw-serie-3-30-335i-sedan-m-package-at-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 2.0 320i Sedan Sportline,US$60.000,60000,2023,2023,7.000 Km,7000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1485425235-bmw-serie-3-20-320i-sedan-sportline-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
Bmw Serie 3 2.0 320i Sedan Sportline,US$63.900,63900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2082865054-bmw-serie-3-20-320i-sedan-sportline-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=f6bb55f4-bce8-49de-9c5e-451f9277f333
