description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw Serie 3 2.5 323i Active Stept,US$12.500,12500,2006,2006,170.000 Km,170000,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2095884790-bmw-serie-3-25-323i-active-stept-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti Sportive,US$11.400,11400,2000,2000,205.000 Km,205000,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2080761598-bmw-323-ti-compact-pack-m-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti Sportive,US$14.000,14000,2001,2001,169.000 Km,169000,Brandsen - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2078115638-bmw-serie-3-25-323-compact-ti-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sedan Active,US$14.000,14000,2008,2008,52.900 Km,52900,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2096775858-bmw-serie-3-25-323i-sedan-active-_JM?highlight=true&headerTopBrand=true#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sportive,US$13.500,13500,2006,2006,160.000 Km,160000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1496858847-bmw-serie-3-25-323i-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sedan Active,US$13.900,13900,2008,2008,80.000 Km,80000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1495350815-bmw-serie-3-25-323i-sedan-active-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sedan Active,US$14.200,14200,2008,2008,142.000 Km,142000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2085570436-bmw-serie-3-25-323i-sedan-active-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti Sportive,US$12.500,12500,2000,2000,170.000 Km,170000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2099262410-bmw-serie-3-25-323-compact-ti-sportive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sedan Active Stept,US$16.900,16900,2008,2008,96.000 Km,96000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2029684688-bmw-serie-3-25-323i-sedan-active-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti,US$12.300,12300,2000,2000,150.000 Km,150000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2099436106-bmw-serie-3-25-323-compact-mti-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
