description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Bmw X5 35i Xdrive Linea Nueva - Pure Excellence 2016,US$55.000,55000,2016,2016,120.000 Km,120000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2098509060-bmw-x5-35i-ano-2016-35i-xdrive-linea-nueva-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$32.000,32000,2013,2013,158.000 Km,158000,Mar Del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-1491760033-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 4.4 Xdrive 50i 449cv M Package,US$73.500,73500,2017,2017,81.000 Km,81000,Del Viso - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2092879634-bmw-x5-44-xdrive-50i-449cv-m-package-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 40i Xdrive,US$181.900,181900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2082684402-bmw-x5-xdrive-40i-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 3.0 Xdrive 35i 306cv Pure Excellence,US$57.900,57900,2017,2017,103.000 Km,103000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2089846338-bmw-x5-30-xdrive-35i-306cv-pure-excellence-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 3.0 Xdrive 40i Lci M Sport Pro,US$179.900,179900,2025,2025,0 Km,0,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1995737398-bmw-x5-30-xdrive-40i-lci-m-sport-pro-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 X5 40i Linea Nueva Xline 340 Cv,US$96.900,96900,2019,2019,80.000 Km,80000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1500341055-bmw-x5-40i-ano-2019-linea-nueva-xline-340-cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 4.4 Xdrive 50i Premium 407cv,US$36.500,36500,2012,2012,96.765 Km,96765,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2093247396-bmw-x5-2012-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 3.0 Xdrive 40i Lci M Sport Pro,US$249.000,249000,2024,2024,11.972 Km,11972,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1480889733-bmw-x5-30-xdrive-40i-lci-m-sport-pro-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 Xdrive40i,US$179.900,179900,2024,2024,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1438074701-bmw-x5-xdrive40i-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
