description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$19.900,19900,2013,2013,155.000 Km,155000,Mar Del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-2060870776-mercedes-benz-glk-30-glk300-4matic-city-231cv-at-2234003316-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 2.5 Glk300 V6 City 4matic,US$15.900,15900,2010,2010,130.000 Km,130000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2075175458-mercedes-benz-clase-glk-25-glk300-v6-city-4matic-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic Sport 247cv At,US$28.500,28500,2013,2013,156.000 Km,156000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2081828046-mercedes-benz-clase-glk-35-glk300-4matic-sport-247cv-at-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$19.000,19000,2011,2011,163.000 Km,163000,Bragado - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1497109141-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic Sport 247cv At,US$26.000,26000,2014,2014,230.000 Km,230000,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2084493820-mercedes-benz-clase-glk-35-glk300-4matic-sport-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$26.000,26000,2013,2013,150.000 Km,150000,San Fernando - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2082847232-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$22.000,22000,2014,2014,193.120 Km,193120,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2096363204-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk Sport,US$18.500,18500,2011,2011,198.000 Km,198000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2099782504-mercedes-glk300-4matic-v6-30-2011-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$18.500,18500,2012,2012,207.000 Km,207000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2073616920-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$23.000.000,23000000,2013,2013,180.000 Km,180000,Plottier - Neuquén,https://auto.mercadolibre.com.ar/MLA-2081820990-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$20.000,20000,2011,2011,190.000 Km,190000,Olavarría - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1499314161-mercedes-benz-glk-300-4matic-city-2011-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$34.000.000,34000000,2014,2014,135.000 Km,135000,Rawson - Chubut,https://auto.mercadolibre.com.ar/MLA-1486416567-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$22.000,22000,2015,2015,256.000 Km,256000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501812225-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Glk300 4matic,US$28.900,28900,2013,2013,121.950 Km,121950,Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501721115-mercedes-benz-glk300-4matic-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz 300 3.0 4matic,US$19.000,19000,2012,2012,140.000 Km,140000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1496135073-mecedez-benz-glk-300-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 2.5 Glk300 V6 City 4matic,US$16.000,16000,2011,2011,145.000 Km,145000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2078851214-mercedes-benz-clase-glk-25-glk300-v6-city-4matic-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
