description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Volvo S60 2.5 R 300hp Mt,US$25.500,25500,2007,2007,135.000 Km,135000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1500307027-volvo-s60-25-r-300hp-mt-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 - T6 3.0 T6 High Luxury 304cv At Awd,US$28.000,28000,2012,2012,78.000 Km,78000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1502648617-volvo-s60-t6-r-desing-340-cv-at-awd-polestar-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 3.0 T6 Awd Premium 304cv,US$18.500,18500,2012,2012,147.000 Km,147000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2081650258-volvo-s60-30-t6-awd-premium-304cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 2.0 T5 High Plus 240cv At,US$13.900,13900,2013,2013,170.000 Km,170000,San Fernando - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2063813592-volvo-s60-20-t5-high-plus-240cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 3.0 T6 Awd Premium 304cv,US$19.000,19000,2013,2013,88.900 Km,88900,Mar Del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-1501433523-volvo-s60-30-t6-awd-premium-304cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 2.0 T4 180cv At,US$14.500,14500,2014,2014,195.000 Km,195000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-2020423754-volvo-s60-20-t4-180cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 2.0 T5 High Plus 240cv At,US$18.900,18900,2013,2013,79.000 Km,79000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1493565113-volvo-s60-20-t5-high-plus-240cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 2.0 T5 High Plus 240cv At,US$16.100,16100,2013,2013,154.000 Km,154000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1501331617-volvo-s60-2013-20-t5-r-design-high-plus-240cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 2.0 T5 High Plus 240cv At,US$12.400,12400,2013,2013,192.000 Km,192000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1496335211-volvo-s60-20-t5-high-plus-240cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 2.0 T6 Inscription At,US$23.000,23000,2017,2017,100.000 Km,100000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2100769964-volvo-s60-t6-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 2.0 T6 R-design,US$27.500,27500,2017,2017,70.000 Km,70000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2087652396-volvo-s60-20-t6-r-design-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 3.0 T6 Awd Premium 304cv,US$26.000.000,26000000,2013,2013,190.000 Km,190000,Monte - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2095847626-volvo-s60-30-t6-awd-premium-304cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
Volvo S60 1.6 T4 180cv At,US$9.000,9000,2013,2013,116.000 Km,116000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2100575212-volvo-s60-16-automatico-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=d9cc960b-1178-48ff-8833-eed0869983a6
