description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Volvo Xc90 2.4 D5 At Awd High Luxury,US$22.000,22000,2014,2014,224.000 Km,224000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501512581-volvo-xc90-2014-24-d5-at-awd-high-luxury-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 2.0 T6 R-desing At8 Awd,US$82.000,82000,2020,2020,125.000 Km,125000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2068220148-volvo-xc90-20-t6-r-desing-at8-awd-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 2.0 T6 R-desing At8 Awd,US$87.900,87900,2020,2020,42.000 Km,42000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2020375376-volvo-xc90-20-t6-r-desing-at8-awd-2020-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 T8 462hp Ultimate Dark,US$139.000,139000,2024,2024,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2049162648-volvo-xc90-t8-462hp-awd-ultimate-dark-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 T6 Inscription Awd,US$56.900,56900,2016,2016,79.000 Km,79000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2009567452-volvo-xc90-t6-inscription-awd-at-2016-79000-kms-autopremium-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 2.0 D5 Momentum,US$71.000,71000,2020,2020,92.278 Km,92278,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2084547628-volvo-xc90-20-d5-momentum-2020-90000kms-motum-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 2.0 T6 R-desing At8 Awd,US$112.000,112000,2020,2020,40.000 Km,40000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2084521902-volvo-xc90-20-t6-r-desing-at8-awd-2020-con-40000kms-motum-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 Plus B6 Mhev,US$124.900,124900,2024,2024,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1458762325-volvo-xc90-t8-plus-phev-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 T8 Ultimate Dark Plug In Hybrid,US$139.000,139000,2024,2024,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2049253548-volvo-xc90-t8-462hp-ultimate-dark-plug-in-hybrid-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
Volvo Xc90 T8 Awd Recharge,US$110.000,110000,2022,2022,55.000 Km,55000,San Miguel De Tucumán - Tucumán,https://auto.mercadolibre.com.ar/MLA-2089941332-xc90-t8-awd-recharge-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=8dcd7b8f-eaae-4966-a9ea-23a3270da5df
